Experiment Number,ROB Size,IQ Size,LQ Size,SQ Size,Number of Physical Registers,CPU Fetch Width,Number of Cycles,Power
1,16,16,16,16,64,2,30945082,7.0002
2,16,16,16,16,64,4,30612101,7.51107
3,16,16,16,16,64,6,29126851,8.30031
4,16,16,16,16,64,8,29738312,9.42618
5,16,16,16,16,128,2,30945082,7.03106
6,16,16,16,16,128,4,30612101,7.58606
7,16,16,16,16,128,6,29126849,8.43583
8,16,16,16,16,128,8,29761470,9.64264
9,16,16,16,16,256,2,30945082,7.08359
10,16,16,16,16,256,4,30612101,7.72697
11,16,16,16,16,256,6,29126849,11.9526
12,16,16,16,16,256,8,29761470,17.0079
13,16,16,16,16,512,2,30945082,7.74456
14,16,16,16,16,512,4,30612101,10.1777
15,16,16,16,16,512,6,29126849,12.8829
16,16,16,16,16,512,8,29761470,18.7202
17,16,16,16,16,1024,2,30945082,7.95003
18,16,16,16,16,1024,4,30612101,11.3093
19,16,16,16,16,1024,6,29126849,17.9174
20,16,16,16,16,1024,8,29761470,135.288
21,16,16,16,16,2048,2,30945082,8.30151
22,16,16,16,16,2048,4,30612101,12.3012
23,16,16,16,64,64,2,30541480,7.01776
24,16,16,16,64,64,4,30574430,7.52862
25,16,16,16,64,64,6,29074213,8.31785
26,16,16,16,64,64,8,30432444,9.44372
27,16,16,16,64,128,2,30541480,7.04866
28,16,16,16,64,128,4,30574430,7.60365
29,16,16,16,64,128,6,29074213,8.45341
30,16,16,16,64,128,8,30432442,9.66022
31,16,16,16,64,256,2,30541480,7.10123
32,16,16,16,64,256,4,30574430,7.7446
33,16,16,16,64,256,6,29074213,11.9702
34,16,16,16,64,256,8,30432442,17.0255
35,16,16,16,64,512,2,30541480,7.76224
36,16,16,16,64,512,4,30574430,10.1954
37,16,16,16,64,512,6,29074213,12.9006
38,16,16,16,64,512,8,30432442,18.7379
39,16,16,16,64,1024,2,30541480,7.96774
40,16,16,16,64,1024,4,30574430,11.3269
41,16,16,16,64,1024,6,29074213,17.935
42,16,16,16,64,1024,8,30432442,135.306
43,16,16,16,64,2048,2,30541480,8.31926
44,16,16,16,64,2048,4,30574430,12.3189
45,16,16,16,128,64,2,30541480,7.03837
46,16,16,16,128,64,4,30574430,7.54923
47,16,16,16,128,64,6,29074213,8.33845
48,16,16,16,128,64,8,30432444,9.46431
49,16,16,16,128,128,2,30541480,7.06932
50,16,16,16,128,128,4,30574430,7.62431
51,16,16,16,128,128,6,29074213,8.42427
52,16,16,16,128,128,8,30432442,9.68086
53,16,16,16,128,256,2,30541480,7.12195
54,16,16,16,128,256,4,30574430,7.76531
55,16,16,16,128,256,6,29074213,11.9909
56,16,16,16,128,256,8,30432442,17.0462
57,16,16,16,128,512,2,30541480,7.783
58,16,16,16,128,512,4,30574430,10.2162
59,16,16,16,128,512,6,29074213,12.9213
60,16,16,16,128,512,8,30432442,18.7586
61,16,16,16,128,1024,2,30541480,7.98855
62,16,16,16,128,1024,4,30574430,11.3477
63,16,16,16,128,1024,6,29074213,17.9558
64,16,16,16,128,1024,8,30432442,135.327
65,16,16,16,128,2048,2,30541480,8.34013
66,16,16,16,128,2048,4,30574430,12.3398
67,16,16,16,256,64,2,30541480,7.07807
68,16,16,16,256,64,4,30574430,7.58892
69,16,16,16,256,64,6,29074213,8.37813
70,16,16,16,256,64,8,30432444,9.50397
71,16,16,16,256,128,2,30541480,7.10913
72,16,16,16,256,128,4,30574430,7.66411
73,16,16,16,256,128,6,29074213,8.51385
74,16,16,16,256,128,8,30432442,9.72063
75,16,16,16,256,256,2,30541480,7.16186
76,16,16,16,256,256,4,30574430,7.80522
77,16,16,16,256,256,6,29074213,12.0308
78,16,16,16,256,256,8,30432442,17.086
79,16,16,16,256,512,2,30541480,7.82301
80,16,16,16,256,512,4,30574430,10.2561
81,16,16,16,256,512,6,29074213,12.9613
82,16,16,16,256,512,8,30432442,18.7985
83,16,16,16,256,1024,2,30541480,8.02866
84,16,16,16,256,1024,4,30574430,11.3878
85,16,16,16,256,1024,6,29074213,17.9958
86,16,16,16,256,1024,8,30432442,135.367
87,16,16,16,256,2048,2,30541480,8.38034
88,16,16,16,256,2048,4,30574430,12.3799
89,16,16,16,512,64,2,30541480,8.75028
90,16,16,16,512,64,4,30574430,9.26077
91,16,16,16,512,64,6,29074213,10.0495
92,16,16,16,512,64,8,30432444,11.1747
93,16,16,16,512,128,2,30541480,8.7825
94,16,16,16,512,128,4,30574430,9.33706
95,16,16,16,512,128,6,29074213,10.1862
96,16,16,16,512,128,8,30432442,11.3923
97,16,16,16,512,256,2,30541480,8.83635
98,16,16,16,512,256,4,30574430,9.47918
99,16,16,16,512,256,6,29074213,13.7032
100,16,16,16,512,256,8,30432442,18.7572
101,16,16,16,512,512,2,30541480,9.49813
102,16,16,16,512,512,4,30574430,11.9302
103,16,16,16,512,512,6,29074213,14.6344
104,16,16,16,512,512,8,30432442,20.4701
105,16,16,16,512,1024,2,30541480,9.70473
